Email address,Domain name,Organization,Country,State,City,Postal code,Street,Confidence score,Type,Number of sources,Pattern,First name,Last name,Department,Position,Twitter handle,LinkedIn URL,Phone number
reed.asher@seoul.com,seoul.com,Seoul,,,,,,86,personal,1,{first},Reed,Asher,,"","","",""
alhie.rahi@seoul.com,seoul.com,Seoul,,,,,,79,personal,1,{first},,,,,,,
tongo.nshoent.hehat@seoul.com,seoul.com,Seoul,,,,,,79,personal,1,{first},,,,,,,
ndrest.notfori.nghi@seoul.com,seoul.com,Seoul,,,,,,79,personal,1,{first},,,,,,,
ree.nthieve.her@seoul.com,seoul.com,Seoul,,,,,,79,personal,1,{first},Ree,Her,,,,,
ittioher.hanotere@seoul.com,seoul.com,Seoul,,,,,,78,personal,1,{first},,,,,,,
notn.endte.ter.ted@seoul.com,seoul.com,Seoul,,,,,,78,personal,1,{first},,,,,,,
kathmandu@seoul.com,seoul.com,Seoul,,,,,,78,personal,1,{first},,,,,,,
ithyoue.ahinion@seoul.com,seoul.com,Seoul,,,,,,77,personal,1,{first},,,,,,,
all.tio.hadwas@seoul.com,seoul.com,Seoul,,,,,,77,personal,1,{first},,,,,,,
security@seoul.com,seoul.com,Seoul,,,,,,77,generic,2,{first},,,Support,,,,
kizsoer@seoul.com,seoul.com,Seoul,,,,,,77,personal,1,{first},,,,,,,
inal.lhiing@seoul.com,seoul.com,Seoul,,,,,,76,personal,1,{first},,,,,,,
sonic@seoul.com,seoul.com,Seoul,,,,,,76,generic,1,{first},,,,,,,
thn.dentheal@seoul.com,seoul.com,Seoul,,,,,,75,personal,1,{first},,,,,,,
ino.ulver.hilees@seoul.com,seoul.com,Seoul,,,,,,75,personal,1,{first},,,,,,,
ist.ertoar@seoul.com,seoul.com,Seoul,,,,,,74,personal,1,{first},,,,,,,
thesas.thwasto@seoul.com,seoul.com,Seoul,,,,,,74,personal,1,{first},,,,,,,
vealtiio.nha.tand@seoul.com,seoul.com,Seoul,,,,,,74,personal,1,{first},,,,,,,
alli.tnesh.othi@seoul.com,seoul.com,Seoul,,,,,,74,personal,1,{first},,,,,,,
hei.onere@seoul.com,seoul.com,Seoul,,,,,,74,personal,1,{first},,,,,,,
ourwit.tedstfor@seoul.com,seoul.com,Seoul,,,,,,74,personal,1,{first},,,,,,,
era.orarebut@seoul.com,seoul.com,Seoul,,,,,,74,personal,1,{first},,,,,,,
neith.ent.are@seoul.com,seoul.com,Seoul,,,,,,74,personal,1,{first},,,,,,,
mei.thleith@seoul.com,seoul.com,Seoul,,,,,,74,personal,1,{first},,,,,,,
wawitte.rtiome.tiare@seoul.com,seoul.com,Seoul,,,,,,74,personal,1,{first},,,,,,,
veer.hadm.ehe.athis@seoul.com,seoul.com,Seoul,,,,,,74,personal,1,{first},,,,,,,
andi.thor.arte.dhe@seoul.com,seoul.com,Seoul,,,,,,73,personal,1,{first},,,,,,,
tioseed.hatis@seoul.com,seoul.com,Seoul,,,,,,73,personal,1,{first},,,,,,,
tioenent.ione@seoul.com,seoul.com,Seoul,,,,,,73,personal,1,{first},,,,,,,
oul.ionere@seoul.com,seoul.com,Seoul,,,,,,73,personal,1,{first},,,,,,,
hineret.haou@seoul.com,seoul.com,Seoul,,,,,,73,personal,1,{first},,,,,,,
foraliss.ehiou@seoul.com,seoul.com,Seoul,,,,,,73,personal,1,{first},,,,,,,
enle.atti@seoul.com,seoul.com,Seoul,,,,,,73,personal,1,{first},,,,,,,
erai.sforhatt.oand@seoul.com,seoul.com,Seoul,,,,,,73,personal,1,{first},,,,,,,
ereare.wasre@seoul.com,seoul.com,Seoul,,,,,,73,personal,1,{first},,,,,,,
ingente.oul@seoul.com,seoul.com,Seoul,,,,,,73,personal,1,{first},,,,,,,
oron.ntsho@seoul.com,seoul.com,Seoul,,,,,,73,personal,1,{first},,,,,,,
allour.ion.not@seoul.com,seoul.com,Seoul,,,,,,72,personal,1,{first},,,,,,,
ormehe.allith.sho@seoul.com,seoul.com,Seoul,,,,,,72,personal,1,{first},,,,,,,
hen.newantyou@seoul.com,seoul.com,Seoul,,,,,,72,personal,1,{first},,,,,,,
lesesh.oar@seoul.com,seoul.com,Seoul,,,,,,72,personal,1,{first},,,,,,,
and.witndhin@seoul.com,seoul.com,Seoul,,,,,,72,personal,1,{first},,,,,,,
ndtiters.ent@seoul.com,seoul.com,Seoul,,,,,,72,personal,1,{first},,,,,,,
erarein.ome@seoul.com,seoul.com,Seoul,,,,,,72,personal,1,{first},,,,,,,
are.iteaver.hensho@seoul.com,seoul.com,Seoul,,,,,,72,personal,1,{first},,,,,,,
toan.andseve@seoul.com,seoul.com,Seoul,,,,,,72,personal,1,{first},,,,,,,
thifore.rfored@seoul.com,seoul.com,Seoul,,,,,,72,personal,1,{first},,,,,,,
tiobutes.tedter@seoul.com,seoul.com,Seoul,,,,,,71,personal,1,{first},,,,,,,
totooul.tedse@seoul.com,seoul.com,Seoul,,,,,,71,personal,1,{first},,,,,,,
for.hiterton.ethi.uld@seoul.com,seoul.com,Seoul,,,,,,71,generic,1,{first},,,,,,,
but.toha.dneera.hin@seoul.com,seoul.com,Seoul,,,,,,71,personal,1,{first},,,,,,,
haderea.rhinst@seoul.com,seoul.com,Seoul,,,,,,71,personal,1,{first},,,,,,,
meuld.butyou@seoul.com,seoul.com,Seoul,,,,,,71,personal,1,{first},,,,,,,
tedfori.then.you@seoul.com,seoul.com,Seoul,,,,,,71,generic,1,{first},,,,,,,
neandw.asnd@seoul.com,seoul.com,Seoul,,,,,,71,personal,1,{first},,,,,,,
erhinth.ishoreare@seoul.com,seoul.com,Seoul,,,,,,71,personal,1,{first},,,,,,,
sestit.hno.torth.ind@seoul.com,seoul.com,Seoul,,,,,,71,personal,1,{first},,,,,,,
theas.thete@seoul.com,seoul.com,Seoul,,,,,,70,personal,1,{first},,,,,,,
had.the.eve@seoul.com,seoul.com,Seoul,,,,,,70,personal,1,{first},,,,,,,
onhadt.hiareare@seoul.com,seoul.com,Seoul,,,,,,70,personal,1,{first},,,,,,,
